"name","description","category","link"
"Sala dos Advogados","As Salas dos Advogados são estruturas de uso gratuito para associados, disponíveis em órgãos judiciais da cidade de São Paulo, em parceria com a OAB – o que permite a utilização do serviço por profissionais inscritos nessa entidade. Esses espaços são uma oportunidade de contribuir para o andamento dos processos e oferecer produtos e serviços em meio à rotina dos advogados, que dispõem, nas salas, de computadores, acesso à internet, digitalização e extração de cópias e venda de guias e produtos personalizados, além de guarda-volumes no Tribunal de Justiça.","Central de Apoio","https://www.aasp.org.br/suporte-profissional/central-de-apoio/sala-dos-advogados/"
"Sala Privativa do Associado","A Sala Privativa do Associado oferece um espaço de reunião entre os advogados e seus clientes, para até quatro participantes. Nela, os profissionais têm acesso ao telefone para chamadas locais, restritas ao período de cinco minutos; computador, com acesso à internet; impressão gratuita de até seis folhas e aos seguintes códigos: Civil, Processo Civil, Penal, Tributário, do Consumidor e também à CLT, ao ECA e ao dicionário Aurélio. A permanência é de até 30 minutos, renováveis, caso não haja lista de espera. Informações sobre horário de funcionamento e regras de uso estão no regulamento.","Central de Apoio","https://www.aasp.org.br/suporte-profissional/central-de-apoio/sala-privativa-do-associado/"
"Acompanhamento de Processos","Endereço dos sites do Supremo Tribunal Federal e Superior Tribunal de Justiça e de outras instituições judiciais.","Tribunais","https://www.aasp.org.br/suporte-profissional/tribunais/acompanhamento-de-processos/"
"Códigos das unidades judiciárias","Informações sobre a uniformização do número dos processos do Poder Judiciário.","Tribunais","https://www.aasp.org.br/suporte-profissional/tribunais/codigos-das-unidades-judiciarias/"
"Composição","Relação dos magistrados componentes das principais instituições judiciais do país.","Tribunais","https://www.aasp.org.br/suporte-profissional/tribunais/composicao/"
"Correições e inspeções","Calendário das correições e inspeções de instituições judiciais do Estado de São Paulo.","Tribunais","https://www.aasp.org.br/suporte-profissional/tribunais/correicoes-e-inspecoes/"
"Custas judiciais estaduais","Relação das normas de despesas processuais judiciais do Estado de São Paulo.","Tribunais","https://www.aasp.org.br/suporte-profissional/tribunais/custas-judiciais-estaduais/"
"Custas judiciais federais","Relação sempre atualizada das normas de despesas processuais federais.","Tribunais","https://www.aasp.org.br/suporte-profissional/tribunais/custas-judiciais-federais/"
"Depósitos e levantamentos judiciais - TRF-3ª Região e TST","Normas sobre depósito e levantamentos judiciais.","Tribunais","https://www.aasp.org.br/suporte-profissional/tribunais/depositos-e-levantamentos-judiciais/"
"Expediente Forense","Informações sobre feriado, recesso e suspensão de expediente nas unidades judiciais do Brasil.","Tribunais","https://www.aasp.org.br/suporte-profissional/tribunais/expediente-forense/"
"Tradutores Oficiais","Relação de Tradutores Públicos e Intérpretes Comerciais Matriculados na Junta Comercial do Estado de São Paulo.","Tribunais","https://www.aasp.org.br/suporte-profissional/tribunais/tradutores-oficiais/"
"Leiloeiros Oficiais","Relação de Leiloeiros Oficiais Matriculados na Junta Comercial do Estado de São Paulo.","Tribunais","https://www.aasp.org.br/suporte-profissional/leiloeiros-oficiais/"
"Peticionamento","Lista de tribunais superiores e regionais que realizam petição eletrônica.","Tribunais","https://www.aasp.org.br/suporte-profissional/tribunais/peticionamento/"
"Plantão judiciário","Calendário com as datas de plantão judiciário nas principais instituições judiciais, como o STF.","Tribunais","https://www.aasp.org.br/suporte-profissional/tribunais/plantao-judiciario/"
"Prazos","Informações sobre prazos no novo CPC.","Tribunais","https://www.aasp.org.br/suporte-profissional/tribunais/prazos/"
"Protocolo integrado","Processos e normas para realizar o protocolo integrado.","Tribunais","https://www.aasp.org.br/suporte-profissional/tribunais/protocolo-integrado/"
"Reforma do Judiciário","Informações importantes sobre uma das instituições mais importantes para a democracia nacional.","Tribunais","https://www.aasp.org.br/suporte-profissional/tribunais/reforma-do-judiciario/"
"Regimentos internos","Regulamento interno do Supremo Tribunal Federal, do Tribunal Superior Eleitoral e de outras unidades judiciais.","Tribunais","http://aplicacao.aasp.org.br/aasp/tribunais/regimentos_internos/legisla5.asp"
"Suspensão dos expedientes e prazos","Calendário com informações de expediente, prazos e feriados forenses.","Tribunais","http://aplicacao.aasp.org.br/aasp/tribunais/suspensao/iusuex.asp"
"Tabelas de honorários","Seleção de normas da Justiça Federal a respeito da tabela de honorários para advogados.","Tribunais","http://aplicacao.aasp.org.br/aasp/tribunais/tabelas_de_honorarios/tabela.asp"
"Valores diversos","Custas de diversas etapas do processo judicial para facilitar o dia a dia dos advogados.","Tribunais","http://aplicacao.aasp.org.br/aasp/tribunais/valoresdiversos/index.asp"
"Cursos","Capacitação e formação em diversas áreas do Direito.","Educacional","https://www.aasp.org.br/educacional/cursos/"
"Biblioteca","Acervo de quase 45 mil livros e serviços de pesquisa por referência.","Educacional","https://www.aasp.org.br/produto/biblioteca/"
"Publicações","Leia a Revista do Advogado, os boletins semanais, clippings diários e muito mais.","Educacional","https://www.aasp.org.br/educacional/publicacoes/"
"Videoteca","Cursos e palestras disponíveis ao associado, em qualquer lugar.","Educacional","https://www.aasp.org.br/educacional/videoteca/"
"9º Encontro Anual AASP - em Belo Horizonte","Presença da min. Cármen Lúcia e de mais 20 palestrantes.","Eventos","https://www.aasp.org.br/produto/encontro/"
"Agenda Cultural","Experiências para todo sentir: literatura, exposições, cinema e muito mais.","Eventos","https://www.aasp.org.br/produto/agenda-cultural/"
"I Fórum de Direitos Humanos - 70 anos da Declaração Universal dos Direitos Humanos","Oito horas de conteúdo e doze palestrantes esperam por você.","Eventos","https://www.aasp.org.br/produto/i-forum-de-direitos-humanos-70-anos-da-declaracao-universal-dos-direitos-humanos/"
"Maratona sobre a reforma trabalhista na OAB de Ribeirão Preto","A AASP, em parceria com a OAB de Ribeirão Preto, leva evento fundamental para os advogados trabalhistas da região.","Eventos","https://www.aasp.org.br/produto/maratona-sobre-a-reforma-trabalhista-na-oab-de-ribeirao-preto/"
"IX Seminário sobre o STJ","Participe desse debate e entenda melhor o judiciário brasileiro.","Eventos","https://www.aasp.org.br/produto/stj/"
"Sobre a AASP","Saiba mais sobre a história da AASP a favor dos seus associados, durante o seu legado de mais de 70 anos.","Institucional","https://www.aasp.org.br/institucional/sobre-a-aasp/"
"Diretoria e Conselho Diretor","Conheça a estrutura organizacional da AASP, seus membros e as principais atividades da instituição.","Institucional","https://www.aasp.org.br/institucional/diretoria-e-conselho/"
"De Olho no Fórum","Enquete para avaliar unidades do Poder Judiciário e auxiliar o exercício da advocacia.","Institucional","https://www.aasp.org.br/institucional/deolhonoforum/"
"Comissão de Jovens Advogados","Espaço para a jovem advocacia expandir conhecimento sobre questões fundamentais para o seu dia a dia.","Institucional","https://www.aasp.org.br/institucional/cja/"
"Centro de Estudos","Conjunto de reflexões sobre o Direito publicado pela AASP.","Institucional","https://www.aasp.org.br/institucional/centro-de-estudos/"
"Estatuto e regulamento eleitoral","O documento rege as regras de funcionamento da Associação: acesse e entenda melhor sobre a AASP.","Institucional","https://www.aasp.org.br/regulamentos/11889-2/"
"Telefones","Telefones Contatos para falar com a AASP em São Paulo e Brasília e nas Salas dos Advogados.","Atendimento","https://www.aasp.org.br/atendimento/telefones/"
"Perguntas frequentes","Perguntas frequentes Esclarecimentos sobre serviços e produtos.","Atendimento","https://www.aasp.org.br/atendimento/perguntas-frequentes/"
"Fale Conosco","Fale Conosco Formulário e informações para contato.","Atendimento","https://www.aasp.org.br/atendimento/fale-conosco/"
"Ouvidoria","Ouvidoria Canal para se manifestar sobre os serviços e produtos da AASP e o exercício da advocacia.","Atendimento","https://www.aasp.org.br/atendimento/ouvidoria/"
"Regulamentos","Regulamentos Regulamentos que descrevem horário de funcionamento, valores e requisitos para utilização dos benefícios da AASP.","Atendimento","https://www.aasp.org.br/atendimento/regulamentos/"
